keyword,ebay_title,ebay_url,ebay_seller,ebay_seller_feedback,ebay_seller_score,ebay_price_usd,ebay_buyer_shipping_usd,ebay_image,supplier_source,supplier_name,supplier_url,supplier_price_jpy,supplier_shop,supplier_condition,match_score,fvf_category,duty_category,weight_kg,gross_revenue_usd,total_ebay_fees_usd,shipping_cost_usd,shipping_cost_jpy,purchase_price_usd,fx_loss_usd,us_import_duty_usd_buyer_pays,us_import_duty_rate,net_profit_usd,net_profit_jpy,profit_margin_pct,breakeven_purchase_jpy,fx_rate_usd_jpy,market_total_listed,market_unique_sellers,market_jp_sellers,market_us_sellers,market_price_min_usd,market_price_median_usd,market_price_p75_usd,market_price_max_usd,evidence_score,evidence_verdict,demand_signal,competition_signal,price_competitiveness,evidence_rationale
Skyline GT-R R34 OEM,Nismo Genuine Oil filler cap Skyline GT-R R32 R34 R35 Silvia 15255-RN015 OEM New,https://www.ebay.com/itm/176366237356?_skw=Skyline+GT-R+R34+OEM&hash=item29103f36ac:g:ClwAAOSwft1mhgM8,tsurugi_motors,100.0,7191,65.09,12.35,https://i.ebayimg.com/images/g/ClwAAOSwft1mhgM8/s-l225.jpg,rakuten,即納 NISMO ニスモ オイルフィラーキャップ スカイライン GT-R BNR32/BCNR33/BNR34 RB26DETT 15255-RN015 ニッサン (660191006,https://item.rakuten.co.jp/auc-trust1994/660191006-022/?variantId=660191006-022,6866,トラスト企画,new,84.1,default,default,1.0,77.44,13.84,19.29,3020,39.86,0.57,9.76,0.15,0.69,107,0.89,6983,156.56,2316,38,48,31,32.77,142.04,275.99,1679.99,57.5,weak,high,healthy,loses,競合セラー=39人(healthy) / 同型番=2セラー / 総出品=2316件 / $ 65vs中央$ 139(loses) / 最古出品から3151日 / 上位セラー評価=1181574
HKS turbo Toyota Supra,HKS Turbo Timer Harness 4103-RT007 for 1997-1998 TOYOTA SUPRA,https://www.ebay.com/itm/155528341073?_skw=HKS+turbo+Toyota+Supra&hash=item2436362651:g:oWEAAOSwQrhkTHZk,jpanime2014,99.8,40030,33.0,0.0,https://i.ebayimg.com/images/g/oWEAAOSwQrhkTHZk/s-l225.jpg,rakuten,HKS 電子系パーツ タイマーハーネス TT-7ブリスター 4103-RT007,https://item.rakuten.co.jp/bouro/20250912173109_223/?variantId=20250912173109_223,2764,bouro楽天市場店,unknown,82.8,toys,toys,0.6,33.0,6.55,19.29,3020,16.04,0.24,3.3,0.1,-12.32,-1929,-37.34,641,156.56,288,37,7,72,33.0,446.13,790.0,1967.36,50.8,weak,high,healthy,loses,競合セラー=37人(healthy) / 同型番=1セラー / 総出品=288件 / $ 33vs中央$ 446(loses) / 最古出品から4657日 / 上位セラー評価=194767
HKS turbo Toyota Supra,HKS 70019-AT106 Air Intake Filter For 97-02 Toyota Supra Turbo JZA80 2JZGTE VVTi,https://www.ebay.com/itm/356856251623?_skw=HKS+turbo+Toyota+Supra&hash=item53164a44e7:g:sQ0AAOSw9s5lTNl0&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGaaKLthFTAMYp9O9GUTXFflV3QtcqTc5Hb35tFZ%2Bn09NxNk3YX6GG6%2FJTGdFSw8psumAB73G7l5Fk8m9dpthuVgX%2FZYONxGTM6Lwf%2F8Vr7zGFX6ZyBUBPOmZl1VtGZdWjnIYx9OKOBIOkZ7u6c5343tssv%2FV9Ydlh%2BAItfR812tw3frpj7%2BFGU8TToHiI%2FoXSBz0cPBw99NE9RO0xauxgFkCX1Hi1WhGbdAUPkQilNZm4EruaknNnIMjumLNC1cwv5zoABx%2BuG121WYkFxVYFKS91wl5z070c8LH%2FCgrYj24Q%3D%3D,blackbelt369,99.6,355,344.3,50.0,https://i.ebayimg.com/images/g/sQ0AAOSw9s5lTNl0/s-l225.jpg,rakuten,70019-AT106 HKS Super Power Flow (スーパーパワーフロー) トヨタ スープラ JZA80 2JZ-GTE 97/08-02/08,https://item.rakuten.co.jp/powerweb-19/hks23000450/?variantId=hks23000450,28649,パワーウェブ2号店,unknown,84.3,toys,toys,0.6,394.3,73.94,19.29,3020,166.35,2.88,34.43,0.1,128.65,20141,32.63,50803,156.56,288,37,7,72,33.0,446.13,790.0,1967.36,70.0,moderate,high,healthy,loses,競合セラー=37人(healthy) / 同型番=5セラー / 総出品=288件 / $ 344vs中央$ 446(loses) / 最古出品から4657日 / 上位セラー評価=194767
HKS turbo Toyota Supra,HKS Intake Fits: 97-02 Toyota Supra Turbo 2JZ-GTE VVT-i 70019-AT106 F/S Air,https://www.ebay.com/itm/226665300008?_skw=HKS+turbo+Toyota+Supra&hash=item34c64e0028:g:XDIAAeSwswdn43Ou&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGa6ivSLkJfdIeGqmnWWqT7vwtmmxCb1Q4ZOvy5R6by68AUmK66u8TMhn5lq%2Fo2R0kkkjeUj%2BXKK0g%2B8rpyVSWJSce8D96P3GGYm0sS3Ge78sAlypVgZY4yOJ4GtXca%2Fr%2Bk9Fmj8c6QTqhWb1r7e05X1Diz63j61X0z6Y1DSlYGoSODTbDTE0ofufS%2FmrArdNqyvNO%2BJ1BfQbU6i%2BW11u5HeTVnJqywI3xljM05mGDUyRhtEjVJi3wMGC9FJLacvoeqJYoR%2B5paO1lUsm3InDMXDcuflNOFpReZp1XM6pCUSIA%3D%3D,japan-smile_52,99.6,577,448.67,100.0,https://i.ebayimg.com/images/g/XDIAAeSwswdn43Ou/s-l225.jpg,yahoo_shopping,HKS スーパーパワーフロー Φ200-100/Green スープラ JZA80 2JZ-GTE 97/08-02/08 70019-AT106,https://store.shopping.yahoo.co.jp/partsya-san/70019at106-1.html?sc_i=shopping-pc-web-result-item-rsltlst-title,26610,partsya-san,unknown,83.5,toys,toys,0.6,548.67,102.73,19.29,3020,154.51,4.01,44.87,0.1,264.94,41479,48.29,72236,156.56,288,37,7,72,33.0,446.13,790.0,1967.36,82.4,strong,high,healthy,parity,競合セラー=37人(healthy) / 同型番=5セラー / 総出品=288件 / $ 449vs中央$ 446(parity) / 最古出品から4657日 / 上位セラー評価=194767
HKS turbo Toyota Supra,HKS 1JZGTE 2JZGTE For Toyota Lexus Aristo GS300 SC300 Soarer Supra Cam Gear,https://www.ebay.com/itm/397598795073?fits=Submodel%3ATurbo%7CModel%3ASupra%7CMake%3AToyota&_skw=HKS+turbo+Toyota+Supra&hash=item5c92bc2541:g:kF4AAeSwKBBpjV4S&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGbcdpDkvJAAU5tf9MM0Mb2UjcD03vugHej5V7DECQ1LOqWmWq9RBONrFoatha9hxtkF2Xl3YaRvN6iUx8Joasl6oWY%2Fs4JOgJM2YbEGfMmMCK46qov4aGzoJtv0PB2f1tt0c%2FFZchScvCYqzauQZR0ojF1eNDfUJG5XfRJdvoeTq1OTK082MgFBlH0S7JA4Xavr2ZEL5d61myI4Kc6GCP%2Bd8XDdGhe08EuesovFW0I39nD5BWgR5ri81uoIWvIKyuagBwU4eMt2ZTZcIDO9sOjv15GDEy3ynTiv8tJarvYQ3A%3D%3D,tofuautogarage,100.0,370,157.68,42.5,https://i.ebayimg.com/images/g/kF4AAeSwKBBpjV4S/s-l225.jpg,amazon,DIXCEL ディクセル ブレーキパッド Mタイプ リア グリース付き LEXUS対応 GS200t/GS300 ARL10 315543 M,https://www.amazon.co.jp/dp/B0CJLQN1DY,13992,Amazon.co.jp,new,80.8,toys,toys,0.6,200.18,37.73,19.29,3020,81.24,1.46,15.77,0.1,57.26,8965,28.61,23852,156.56,288,37,7,72,33.0,446.13,790.0,1967.36,57.5,weak,high,healthy,loses,競合セラー=37人(healthy) / 同型番=2セラー / 総出品=288件 / $ 158vs中央$ 446(loses) / 最古出品から4657日 / 上位セラー評価=194767
HKS turbo Toyota Supra,HKS Cam Gears 2 SET 1 / 2JZ-GTE For Toyota Lexus Aristo GS300 SC300 Soarer Supra,https://www.ebay.com/itm/354602906419?fits=Submodel%3ATurbo%7CModel%3ASupra%7CMake%3AToyota&_skw=HKS+turbo+Toyota+Supra&hash=item528ffaf333:g:1acAAeSwpFxp27wz,obsolete_22,99.8,16459,260.0,95.0,https://i.ebayimg.com/images/g/1acAAeSwpFxp27wz/s-l225.jpg,amazon,DIXCEL ディクセル ブレーキパッド Mタイプ リア グリース付き LEXUS対応 GS200t/GS300 ARL10 315543 M,https://www.amazon.co.jp/dp/B0CJLQN1DY,13992,Amazon.co.jp,new,80.5,toys,toys,0.6,355.0,66.61,19.29,3020,81.24,2.59,26.0,0.1,182.08,28506,51.29,45347,156.56,288,37,7,72,33.0,446.13,790.0,1967.36,57.5,weak,high,healthy,loses,競合セラー=37人(healthy) / 同型番=2セラー / 総出品=288件 / $ 260vs中央$ 446(loses) / 最古出品から4657日 / 上位セラー評価=194767
Yu-Gi-Oh 25th secret rare Japanese,Yu-Gi-Oh! Official Card Game Duel Monsters 25DS-JP002 25th Secret Rare,https://www.ebay.com/itm/406755432261?_skw=Yu-Gi-Oh+25th+secret+rare+Japanese&hash=item5eb4835745:g:SyIAAeSwtRBpzzPA,greensunjapan,100.0,386,35.0,50.0,https://i.ebayimg.com/images/g/SyIAAeSwtRBpzzPA/s-l225.jpg,amazon,【 3枚セット 】遊戯王 日本語版 SPDS-JP002 D-HERO ダイナマイトガイ (ノーマル),https://www.amazon.co.jp/dp/B01JUOLZ5U,185,Amazon.co.jp,new,79.5,default,default,1.0,85.0,15.15,19.29,3020,1.07,0.63,5.25,0.15,45.67,7150,53.73,8049,156.56,43,21,25,15,32.0,59.99,99.99,515.39,53.2,weak,medium,healthy,loses,競合セラー=21人(healthy) / 同型番=1セラー / 総出品=43件 / $ 35vs中央$ 56(loses) / 最古出品から1154日 / 上位セラー評価=652979
Seiko Prospex SPB Japan,Seiko Prospex Alpinist Automatic SBDC211/SPB507 Japanese Domestic Model New,https://www.ebay.com/itm/336270240409?_skw=Seiko+Prospex+SPB+Japan&hash=item4e4b44aa99:g:cwkAAeSwV9NpCuzT,premium-japan,99.6,10522,920.0,155.0,https://i.ebayimg.com/images/g/cwkAAeSwV9NpCuzT/s-l225.jpg,rakuten,セイコー SEIKO プロスペックス アルピニスト Alpinist 自動巻き 20気圧防水 正規品 コアショップ限定モデル SBDC211,https://item.rakuten.co.jp/ikkodo/sbdc211/?variantId=SBDC211,126500,城下町松本の時計店 一光堂,new,93.8,watches_under5k,watches,0.4,1075.0,200.89,19.29,3020,734.54,7.85,147.2,0.16,109.24,17102,10.16,145311,156.56,474,34,1,60,66.68,829.99,995.0,1700.0,56.5,weak,high,healthy,loses,競合セラー=34人(healthy) / 同型番=0セラー / 総出品=474件 / $ 920vs中央$ 800(loses) / 最古出品から3294日 / 上位セラー評価=53657
Seiko Prospex SPB Japan,SEIKO Prospex SBDC157 SPB257J1 Automatic Stainless watch,https://www.ebay.com/itm/376505500815?_skw=Seiko+Prospex+SPB+Japan&hash=item57a97a048f:g:EA0AAOSw~XBiNt6K,ippojapanwatch,97.2,1308,1141.19,29.99,https://i.ebayimg.com/images/g/EA0AAOSw~XBiNt6K/s-l225.jpg,yahoo_furima,セイコー　SEIKO PROSPEX SPB257J1 5500本限定 SBDC157★新品未使用,https://paypayfleamarket.yahoo.co.jp/item/z580935226,110000,フリマ:p68787528,new,97.1,watches_under5k,watches,0.4,1171.18,218.83,19.29,3020,638.73,8.56,182.59,0.16,282.59,44242,24.13,158664,156.56,474,34,1,60,66.68,829.99,995.0,1700.0,50.8,weak,high,healthy,loses,競合セラー=34人(healthy) / 同型番=0セラー / 総出品=474件 / $ 1141vs中央$ 800(loses) / 最古出品から3294日 / 上位セラー評価=53657
Seiko Prospex SPB Japan,SEIKO PROSPEX SBEJ009 SPB381J1 GMT Mechanical Automatic Diver 200m Watch Green,https://www.ebay.com/itm/376505461091?_skw=Seiko+Prospex+SPB+Japan&hash=item57a9796963:g:5~EAAOSwzX9kiRhg,ippojapanwatch,97.2,1308,1263.75,29.99,https://i.ebayimg.com/images/g/5~EAAOSwzX9kiRhg/s-l225.jpg,yahoo_furima,【新品】SEIKO セイコー 大谷翔平 着用モデル PROSPEX GMTダイバー SBEJ009 自動巻 腕時計 グリーン☆未使用,https://paypayfleamarket.yahoo.co.jp/item/m1189655974,199800,フリマ:p25896701,new,92.2,watches_under5k,watches,0.4,1293.74,241.68,19.29,3020,1160.17,9.45,202.2,0.16,-140.05,-21926,-10.83,175681,156.56,474,34,1,60,66.68,829.99,995.0,1700.0,50.8,weak,high,healthy,loses,競合セラー=34人(healthy) / 同型番=1セラー / 総出品=474件 / $ 1264vs中央$ 800(loses) / 最古出品から3294日 / 上位セラー評価=53657
